City,Lat,Lon
The Hague,52.0767,4.2986
Amsterdam,52.37275979909294,4.893604099999999
Utrecht,52.0908,5.1222
Rotterdam,51.9225,4.4792
Eindhoven,51.43926479918078,5.478632999999999
Almere,52.36570979909325,5.2210432
Groningen,53.21906519909767,6.5680077
Breda,51.58878449916103,4.776023699999999
Apeldoorn,52.21564569910145,5.963948499999999
Haarlem,52.388531699092255,4.6388048
Zaanstad,52.4697,4.7767
Arnhem,51.98425699911883,5.910857299999999
’s-Hertogenbosch,51.6833,5.3167
Leeuwarden,53.2,5.7833
Maastricht,50.8483,5.6889
Zwolle,52.5125,6.0944
Alphen aan den Rijn,52.13433689910688,4.656135699999999
Emmen,52.78893699908421,6.893900099999999
Delft,52.01140169911648,4.358389999999999
Deventer,52.25322719909916,6.158472499999999
Hilversum,52.22413749910091,5.1719396
Heerlen,50.88767349926931,5.9773285
Purmerend,52.50247889908804,4.9614827
Lelystad,52.5167,5.4833
Roosendaal,51.53314839916815,4.4561276
Spijkenisse,51.84648809913179,4.328768099999999
Ede,52.045826499113645,5.670201099999999
Gouda,52.01149219911648,4.710609399999999
Zaandam,52.4417,4.8422
Bergen op Zoom,51.49582649917307,4.2871293
Capelle aan den IJssel,51.93475209912325,4.579397
Veenendaal,52.02598139911528,5.5539239
Katwijk,52.2005077991024,4.414637199999999
Zeist,52.0833,5.2333
Nieuwegein,52.0367151991144,5.0836117
Assen,52.99535379908772,6.560553
Hardenberg,52.57547059908615,6.618824199999999
Barneveld,52.14247899910632,5.5866392
Roermond,51.1933,5.9872
Heerhugowaard,52.66314839908468,4.8326672
Oosterhout,51.64472149915415,4.8608337
Den Helder,52.9579759990867,4.760278999999999
Hoogeveen,52.72023929908422,6.4759313
Kampen,52.5559483990866,5.9033303
Woerden,52.0858,4.8833
Houten,52.02712299911518,5.161824099999999
Sittard,50.9974234992499,5.866662699999999
IJmuiden,52.45742359908953,4.611198099999999
Middelburg,51.4997,3.6136
Harderwijk,52.34906929909405,5.618932999999999
Zutphen,52.14,6.195
Ridderkerk,51.8714811991293,4.599977799999999
Kerkrade,50.86549239927333,6.063202199999999
Veldhoven,51.4190690991836,5.4045572
Medemblik,52.76869099908417,5.106195
Zwijndrecht,51.824,4.6126
Vlissingen,51.44809289917955,3.5697992
Rheden,52.00438359911711,6.030280599999999
Etten-Leur,51.56920649916351,4.6360813
Zevenaar,51.9167,6.0833
Venray,51.52702579916895,5.9753635
Noordwijk,52.24108559909988,4.4461969
Tiel,51.887433299127736,5.4372681
Uden,51.65908879915244,5.614860499999999
Huizen,52.29581219909676,5.2567209
Beverwijk,52.48763709908848,4.6603502
Wijchen,51.80999829913555,5.7362233
Dronten,52.52366079908742,5.7160381
Hellevoetsluis,51.83392099913308,4.1436739
Maarssen,52.1384845991066,5.040082
Leidschendam,52.086165399110456,4.3946774
Heemskerk,52.51043309908781,4.672353599999999
Veghel,51.61346359915796,5.544645499999999
Goes,51.5031032991721,3.8897596
Venlo,51.37,6.1681
Landgraaf,50.90808449926564,6.0264604
Teijlingen,52.215,4.5103
Geleen,50.96733219925514,5.8277007
Hellendoorn,52.3885,6.4497
Castricum,52.54967389908671,4.6696185
Gorinchem,51.829613299133534,4.9738743
IJsselstein,52.02463809911538,5.0458792
Sneek,53.03354799908896,5.6611029
Tynaarlo,53.0833,6.6
Maassluis,51.92199169912447,4.2541194
Bussum,52.277420699097775,5.162746499999999
Deurne,51.46385349917741,5.7946304
Oldenzaal,52.31166159909592,6.9241615
Aalsmeer,52.26694419909836,4.749338400000001
Rosmalen,51.71857919914554,5.3617341
Lonneker,52.2506,6.9119
Hendrik-Ido-Ambacht,51.84388929913207,4.635647
Valkenswaard,51.35068799919338,5.4594497
Boxtel,51.5937109991604,5.327826299999999
Leusden,52.130354999107176,5.4286989
Bergen,52.67022779908461,4.701161599999999
Heesch,51.73518999914367,5.5266331
Oosterend,53.0036,6.0664
Krimpen aan den IJssel,51.914402999125166,4.588788899999999
Diemen,52.34214889909438,4.960824999999999
Boxmeer,51.64864829915369,5.945097199999999
Sint-Michielsgestel,51.6433,5.3586
Winterswijk,51.97464319911964,6.722418499999999
Culemborg,51.95735039912121,5.2253042
Heerenveen,52.95682459908666,5.927005199999999
Geldrop,51.4226683991831,5.560754599999999
Brunssum,50.9431107992594,5.9705675
Langedijk,52.6936,4.7944
Zaltbommel,51.8,5.25
Heemstede,52.35293619909387,4.6215374
Drimmelen,51.6944,4.7972
Leiderdorp,52.161795199104965,4.5340923
Aalten,51.92859629912383,6.5810265
Werkendam,51.80792269913578,4.898734599999999
Ermelo,52.300087999096526,5.6231259
Rijssen,52.30802759909613,6.521300399999999
Wassenaar,52.14257789910631,4.4012224
Oisterwijk,51.5778741991624,5.193810099999999
Dongen,51.62473839915659,4.9366784
Beuningen,51.858661099130586,5.767357
Veenoord,52.9875,6.2914
Duiven,51.94958589912191,6.024594
Sliedrecht,51.82509389913399,4.7741716
Stein,50.96943809925475,5.766971299999999
Cuijk,51.72993899914424,5.8800458
Oegstgeest,52.18543299910338,4.473885599999999
Oud-Beijerland,51.82515849913398,4.4179182
Putten,52.260857099098736,5.6101591
Goirle,51.52395849916936,5.0661977
Schijndel,51.6183,5.4364
Oldebroek,52.4667,5.9167
Heiloo,52.60164909908562,4.711926599999999
Loon op Zand,51.6275,5.0758
Borne,52.30182869909645,6.750239499999999
Steenwijk,52.78955019908424,6.121047699999999
Hoensbroek,50.92393969926282,5.929386199999999
Losser,52.26203689909866,7.0046452
Beek en Donk,51.5161,5.6208
Zeewolde,52.3333,5.5167
Oud-Zuilen,52.1272,5.0694
Woensdrecht,51.43,4.305
Nieuwerkerk aan den IJssel,51.96752839912029,4.611677599999999
Zundert,51.4703,4.66
Geertruidenberg,51.7008,4.8603
Tubbergen,52.40810839909143,6.7818694
Leerdam,51.895137299127,5.091460299999999
Winschoten,53.14299569909354,7.0381231
Urk,52.66545149908466,5.5987894
Poortugaal,51.8553,4.3967
Cranendonck,51.2853,5.5881
Bladel,51.3667,5.2167
Rhenen,51.9608760991209,5.5722196
Wisch,51.9333,6.3167
Vriezenveen,52.4086696990914,6.6148049
Helden,51.3167,6.0
Tegelen,51.3422,6.1364
Someren,51.38588869918832,5.7133677
Echt,51.1058,5.8706
Lichtenvoorde,51.989057699118405,6.571694399999999
Eersel,51.3572,5.3147
Meerssen,50.8858,5.7519
Zuidhorn,53.2468,6.4077
Groesbeek,51.77410219913937,5.9305385
Edam,52.51191159908775,5.056284499999999
Druten,51.88607289912788,5.602962
Oirschot,51.5032384991721,5.3155486
Bergeijk,51.3203,5.3592
Drunen,51.68607669914925,5.131389599999999
Bemmel,51.8917,5.8958
Elst,51.9156,5.8378
Hardinxveld-Giessendam,51.83,4.87
Middelharnis,51.7535,4.1647
Bodegraven,52.08343469911067,4.7510872
Sint-Oedenrode,51.56464339916408,5.4610004
Ommen,52.520802299087485,6.4251941
Naarden,52.2953,5.1622
Waalre,51.3867,5.4456
Gennep,51.695083899148216,5.973454899999999
Zandvoort,52.3667,4.5333
Staphorst,52.64727599908487,6.2074792
Son en Breugel,51.51731359917021,5.500838
Asten,51.40409099918569,5.745868799999999
Kralingse Veer,51.9249,4.5071
Didam,51.9333,6.1333
Heumen,51.7656,5.8433
Eibergen,52.10326849910917,6.6511683
Harenkarspel,52.7344,4.7706
Beek,50.9394,5.7961
Vlijmen,51.6942629991483,5.2091225
Zevenbergen,51.6453,4.5997
Harlingen,53.175210299095184,5.414199799999999
Huissen,51.93835019912295,5.939376899999999
Hilvarenbeek,51.48629239917435,5.137998399999999
Bunnik,52.0672,5.1969
Den Ham,52.465,6.4942
Boskoop,52.0742347991114,4.6631166
Westervoort,51.96158999912083,5.98026
IJsselmuiden,52.5647,5.9275
Sassenheim,52.2258,4.5225
Rijnsburg,52.1897,4.4408
Rozenburg,51.9058,4.2486
Breukelen,52.1725,4.9986
Lopik,51.9722,4.9464
Scheemda,53.1667,6.9667
Gorssel,52.2,6.2
Haaren,51.6017,5.2228
Beilen,52.86113949908484,6.5122831
Maasbracht,51.15,5.8833
Raamsdonk,51.6878,4.9081
Winsum,53.328333499104886,6.516277299999999
Uitgeest,52.5292,4.7103
Beesel,51.2669,6.0392
Valburg,51.9111,5.7892
